c_number,c_title,s_section_number,s_section_title,s_section_text,explain,illustration,punishment
XVII,Of Offences Against Property,323,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors,Whoever with intent to defraud creditors or to prevent the property from coming to or being made available for his creditors dishonestly or fraudulently conceals or removes any part of his property or disposes of the whole or any part of his property,No explanation provided,No illustration provided,Imprisonment for a term which may extend to three years or with fine or with both
XVII,Of Offences Against Property,324,Mischief,Whoever with intent to cause or knowing that he is likely to cause wrongful loss or damage to the public or to any person causes the destruction of any property or any such change in any property or in the situation thereof as destroys or diminishes its value or utility or affects it injuriously commits mischief,No explanation provided,No illustration provided,Imprisonment for a term which may extend to six months or with fine or with both
XVII,Of Offences Against Property,325,Mischief by killing or maiming animal,Whoever commits mischief by killing poisoning maiming or rendering useless any animal,No explanation provided,No illustration provided,Imprisonment for a term which may extend to five years or with fine or with both
XVII,Of Offences Against Property,326,Mischief by injury inundation fire or explosive substance,Whoever commits mischief by any act which causes or which he knows to be likely to cause a diminution of the supply of water for agricultural purposes or for food or drink for human beings or for animals or for the purpose of cleanliness or for carrying on any manufacture,No explanation provided,No illustration provided,Imprisonment for a term which may extend to five years or with fine or with both
XVII,Of Offences Against Property,327,Mischief with intent to destroy or make unsafe a rail road bridge or causeway,Whoever commits mischief with intent to destroy or to render unsafe a railroad or a bridge viaduct or causeway or any other structure which if destroyed or rendered unsafe would endanger human life,No explanation provided,No illustration provided,Imprisonment for life or with imprisonment for a term which may extend to ten years and shall also be liable to fine
XVII,Of Offences Against Property,328,Punishment for intentionally running vessel aground or ashore with intent to commit theft,Whoever intentionally runs any vessel aground or ashore intending to commit theft of any property contained therein or to dishonestly misappropriate any such property or with intent that theft or misappropriation of any such property may be committed,No explanation provided,No illustration provided,Imprisonment for a term which may extend to ten years and shall also be liable to fine
XVII,Of Offences Against Property,329,Criminal trespass and house-trespass,Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate insult or annoy any person in possession of such property or having unlawfully entered into or upon such property commits an offence or intimidates insults or annoys any such person commits criminal trespass,No explanation provided,No illustration provided,Imprisonment for a term which may extend to three months or with fine which may extend to five thousand rupees or with both
XVII,Of Offences Against Property,330,House-trespass and house-breaking,Whoever commits criminal trespass by entering into or remaining in any building tent or vessel used as a human dwelling or any building used as a place for worship or as a place for the custody of property is said to commit house-trespass,No explanation provided,No illustration provided,Imprisonment for a term which may extend to seven years and shall also be liable to fine
XVII,Of Offences Against Property,331,Punishment for house-trespass or house-breaking,Whoever commits house-trespass shall be punished with imprisonment of either description for a term which may extend to seven years and shall also be liable to fine,No explanation provided,No illustration provided,Imprisonment for a term which may extend to seven years and shall also be liable to fine
XVII,Of Offences Against Property,332,House-trespass in order to commit offence,Whoever commits house-trespass in order to the committing of any offence punishable with death or with imprisonment for life or with imprisonment,No explanation provided,No illustration provided,For offence punishable with death: imprisonment for life or rigorous imprisonment not exceeding ten years and fine. For offence punishable with imprisonment for life: imprisonment not exceeding ten years and fine. For offence punishable with imprisonment: imprisonment up to two years and fine. Provided that if intended offence is theft imprisonment may be extended to seven years
XVII,Of Offences Against Property,333,House-trespass after preparation for hurt assault or wrongful restraint,Whoever commits house-trespass having made preparation for causing hurt to any person or for assaulting any person or for wrongfully restraining any person or for putting any person in fear of hurt or of assault or of wrongful restraint,No explanation provided,No illustration provided,Imprisonment for a term which may extend to ten years and shall also be liable to fine
XVII,Of Offences Against Property,334,Dishonestly breaking open receptacle containing property,Whoever dishonestly or with intent to commit mischief breaks open or unfastens any closed receptacle which contains or which he believes to contain property,No explanation provided,No illustration provided,Imprisonment for a term which may extend to two years or with fine or with both
